id,BeatsPerMinute
524164,121.56876
524165,123.905785
524166,123.49985
524167,122.950615
524168,122.33431
524169,123.374794
524170,123.02985
524171,121.679565
524172,118.98725
524173,121.27169
524174,117.69638
524175,122.025635
524176,120.081825
524177,121.97687
524178,123.030205
524179,117.4886
524180,121.14719
524181,120.21034
524182,123.50302
524183,118.15014
524184,128.4662
524185,122.68387
524186,124.11132
524187,122.30078
524188,121.71181
524189,124.96471
524190,123.03108
524191,118.46659
524192,121.03574
524193,123.30328
524194,118.519875
524195,124.204544
524196,123.80096
524197,120.39548
524198,120.79699
524199,123.32663
524200,120.18915
524201,119.243034
524202,122.64093
524203,122.60034
524204,124.696236
524205,121.56394
524206,123.43456
524207,125.46956
524208,123.35131
524209,119.06914
524210,123.29067
524211,118.58538
524212,124.90637
524213,119.10562
524214,124.84184
524215,119.16475
524216,120.79086
524217,125.06154
524218,121.27847
524219,124.06872
524220,122.52629
524221,122.22269
524222,124.782234
524223,125.304214
524224,123.019806
524225,119.89695
524226,120.120186
524227,119.6524
524228,124.50078
524229,125.671776
524230,122.674706
524231,118.78437
524232,117.54142
524233,124.4815
524234,120.45068
524235,123.664986
524236,125.27288
524237,123.256325
524238,122.398506
524239,121.83295
524240,121.565346
524241,120.2035
524242,126.22517
524243,122.13535
524244,121.24159
524245,123.47363
524246,124.5775
524247,121.238235
524248,121.38167
524249,123.0533
524250,119.63442
524251,117.60461
524252,125.20142
524253,121.548256
524254,123.23947
524255,119.99774
524256,122.82929
524257,123.57608
524258,124.64537
524259,122.79731
524260,119.035965
524261,123.32795
524262,120.65103
524263,117.53854
524264,122.08467
524265,120.39829
524266,122.7975
524267,124.309204
524268,121.02032
524269,121.81076
524270,123.32047
524271,124.16033
524272,123.55418
524273,121.02181
524274,123.94494
524275,121.77715
524276,124.771675
524277,123.94556
524278,125.425156
524279,121.23404
524280,119.20059
524281,123.574585
524282,123.43142
524283,120.401184
524284,121.65407
524285,125.08823
524286,125.93474
524287,120.658806
524288,122.272896
524289,122.422295
524290,120.59042
524291,121.045525
524292,122.804794
524293,121.23882
524294,121.98017
524295,124.53977
524296,121.75066
524297,120.80698
524298,124.339005
524299,122.03004
524300,121.84279
524301,122.408356
524302,122.41433
524303,121.24894
524304,124.71031
524305,124.53589
524306,122.353745
524307,124.474815
524308,122.39171
524309,120.85002
524310,121.87591
524311,124.71039
524312,121.358215
524313,123.80041
524314,123.42126
524315,122.10559
524316,123.94905
524317,122.4546
524318,117.05238
524319,122.73572
524320,120.4725
524321,121.97282
524322,124.57133
524323,118.91021
524324,119.880516
524325,122.62511
524326,116.61153
524327,121.53494
524328,121.679825
524329,122.74464
524330,123.5007
524331,120.152016
524332,121.547295
524333,120.40931
524334,120.98301
524335,124.239044
524336,122.01786
524337,121.69179
524338,126.514824
524339,119.7849
524340,116.951546
524341,123.0904
524342,121.22979
524343,123.11796
524344,123.997955
524345,121.58976
524346,122.16921
524347,121.83796
524348,120.03234
524349,117.04315
524350,121.34434
524351,121.820885
524352,121.402306
524353,120.50972
524354,122.76083
524355,123.45719
524356,123.41538
524357,124.855705
524358,117.6834
524359,124.358215
524360,118.95997
524361,122.188705
524362,118.8557
524363,123.19738
524364,123.14553
524365,121.91675
524366,121.485054
524367,121.93194
524368,117.413445
524369,122.760735
524370,120.610435
524371,118.46488
524372,124.34069
524373,121.132256
524374,125.63796
524375,122.972755
524376,124.70891
524377,123.80828
524378,122.69421
524379,125.589005
524380,124.73244
524381,122.21675
524382,121.54725
524383,122.68969
524384,122.3398
524385,121.31647
524386,122.0221
524387,121.42495
524388,118.99951
524389,120.34758
524390,120.77254
524391,123.712975
524392,125.36691
524393,121.17596
524394,120.94488
524395,121.141014
524396,119.16927
524397,120.38641
524398,118.02925
524399,124.916756
524400,121.23702
524401,122.65589
524402,118.74862
524403,124.03007
524404,120.905525
524405,119.703255
524406,124.2537
524407,122.0502
524408,116.966156
524409,125.61934
524410,119.50885
524411,126.151855
524412,120.37611
524413,121.32205
524414,121.467255
524415,123.3848
524416,125.0639
524417,122.38395
524418,123.55049
524419,123.84667
524420,120.86502
524421,123.50954
524422,123.32683
524423,121.13427
524424,121.1128
524425,123.26999
524426,120.51144
524427,119.13919
524428,117.49043
524429,120.13892
524430,125.13127
524431,122.0046
524432,120.21453
524433,123.48317
524434,123.22409
524435,126.35292
524436,124.912056
524437,123.39326
524438,117.52981
524439,121.79569
524440,124.63309
524441,122.793274
524442,122.60431
524443,121.54184
524444,121.31987
524445,120.795685
524446,123.56176
524447,123.69919
524448,122.507645
524449,123.67335
524450,120.872475
524451,124.57335
524452,124.40013
524453,125.466995
524454,126.11114
524455,121.87038
524456,121.58049
524457,124.2478
524458,121.52412
524459,119.33343
524460,122.786125
524461,126.14642
524462,126.05193
